u,du,Cur_acc,q,ru,rdu
3.0,30.0,7.41562263921758e-07,0.19472247,0.99540025,0.049086206
3.0,0.0,-8.315097055611266e-07,0.46583384,0.40295202,0.24977654
3.0,0.0,1.03916751835893e-06,0.4646608,0.4040093,0.25116062
3.0,0.0,-2.4352968510897256e-08,0.4647213,0.4039532,0.25108832
3.0,0.0,-9.00372750941957e-08,0.4646791,0.40398803,0.2511359
3.0,0.0,-3.0005955367021775e-07,0.46464768,0.40401563,0.2511725
3.0,0.0,3.186476405601575e-07,0.46462986,0.4040315,0.25119385
3.0,0.0,-1.0591046000092986e-07,0.46461952,0.40404007,0.2512056
3.0,0.0,-4.338245897566173e-08,0.46461436,0.4040455,0.25121227
3.0,0.0,9.41343561561971e-09,0.46461013,0.40404776,0.25121602
3.0,0.0,-6.569196708824937e-09,0.46460873,0.40405002,0.25121808
3.0,0.0,3.459305632270633e-08,0.46460688,0.40404955,0.2512189
3.0,0.0,-6.895518906538793e-09,0.4646064,0.40405002,0.2512195
3.0,0.0,-2.4074343983274198e-08,0.4646064,0.40405047,0.2512196
3.0,0.0,1.5693193615614846e-07,0.46460593,0.4040514,0.2512203
3.0,0.0,4.61531414376643e-09,0.46460688,0.4040523,0.25122055
3.0,0.0,-1.2621317716159713e-07,0.46460688,0.40405184,0.2512208
3.0,0.0,-2.8220599167461212e-08,0.46460593,0.40405184,0.2512208
3.0,0.0,1.6655368165058188e-09,0.46460733,0.4040523,0.25122073
3.0,0.0,2.9120640415029026e-09,0.46460733,0.4040523,0.25122073
3.0,0.0,1.56603745471139e-08,0.46460733,0.4040523,0.25122073
3.0,0.0,1.3880738011198774e-07,0.46460733,0.4040523,0.25122073
3.0,0.0,-1.5016759232549737e-07,0.46460733,0.4040523,0.25122073
3.0,0.0,-1.924600678696245e-08,0.46460733,0.4040523,0.25122073
3.0,0.0,10.962208074244735,0.46460733,0.4040523,0.25122073
3.0,0.0,14.125744607431388,0.6633339,0.4203695,0.1890187
3.0,0.0,10.751034550716028,0.808416,0.5106113,0.1877411
3.0,0.0,5.703879872757079,0.81459147,0.524576,0.20373128
3.0,0.0,1.8893797506095422,0.6862809,0.44510943,0.2292951
3.0,0.0,0.841660212223815,0.5229308,0.40247074,0.28092995
3.0,0.0,2.042760443718474,0.33200285,0.36212373,0.35411793
3.0,0.0,2.5736482872899855,0.117748044,0.31355876,0.5121622
3.0,0.0,1.6385306846172878,0.050560743,0.15382232,0.6238302
3.0,0.0,1.3862755718871502,0.046974197,0.12988615,0.6171393
3.0,0.0,2.117828152275283,0.047425292,0.14317079,0.6038423
3.0,0.0,2.1379562919361894,0.04312607,0.15853693,0.5915659
3.0,0.0,1.8956035294379676,0.04661171,0.16286343,0.5669172
3.0,0.0,2.253531313393701,0.040368274,0.11008112,0.56806195
3.0,0.0,2.475678016998905,0.03431765,0.06798082,0.56674254
3.0,0.0,2.244645434038179,0.048760124,0.06040538,0.5741458
3.0,0.0,2.17720042785303,0.069320604,0.06578788,0.58258677
3.0,0.0,2.2994338396097187,0.12759168,0.081168555,0.60295254
3.0,0.0,2.2517179075549,0.28732437,0.10771443,0.6222326
3.0,0.0,2.1500071288315508,0.40895107,0.10375793,0.6009624
3.0,0.0,2.1602880290547106,0.5223478,0.10771688,0.5723054
3.0,0.0,2.1687271524114133,0.59662265,0.111149296,0.550029
3.0,0.0,2.1258694304782284,0.46527287,0.107937664,0.5605655
3.0,0.0,2.1063141120398137,0.33871534,0.10501476,0.5719228
3.0,0.0,2.1100150958243593,0.16091615,0.06798586,0.5236252
3.0,0.0,2.099518356766733,0.21161899,0.07482204,0.524076
3.0,0.0,2.083484992266679,0.4459564,0.11004194,0.52276284
3.0,0.0,2.075758991638517,0.667375,0.50580883,0.4137462
3.0,0.0,2.0688658664166413,0.7838982,0.9218923,0.20441623
3.0,0.0,2.0582251050072977,0.8423546,0.9526121,0.13961227
3.0,0.0,2.047539384881813,0.71094173,0.94410485,0.23831277
3.0,0.0,2.037903168586835,0.6872877,0.94707555,0.2679876
3.0,0.0,2.0282674092123836,0.9397112,0.9863338,0.0639017
3.0,0.0,2.0182359893733333,0.9311235,0.85630083,0.103631005
3.0,0.0,2.0083151190528032,0.9187686,0.27790517,0.20423767
3.0,0.0,1.9986215862319647,0.91780025,0.3246378,0.25629696
3.0,0.0,1.9887280580550706,0.9143712,0.32920387,0.2825728
3.0,0.0,1.9795820593840237,0.9123633,0.41784292,0.33391407
