ego_s,ego_d
2119.9999664494057,0.00999712308615501
2119.9999664494057,0.00999712308615501
2119.9999664494057,0.00999712308615501
2119.9999664494057,0.00999712308615501
2119.9999664494057,0.00999712308615501
2119.9999664494057,0.00999712308615501
2119.9999664494057,0.00999712308615501
2119.9999664494057,0.00999712308615501
2119.9999664494057,0.00999712308615501
2119.9999664494057,0.00999712308615501
2119.9999664494057,0.00999712308615501
2119.9999664494057,0.00999712308615501
2119.9999664494057,0.00999712308615501
2119.9999664494057,0.00999712308615501
2119.9999664494057,0.00999712308615501
2119.9999664494057,0.00999712308615501
2119.9999664494057,0.00999712308615501
2119.9999664494057,0.00999712308615501
2119.9999664494057,0.00999712308615501
2119.9999664494057,0.00999712308615501
2119.9999664494057,0.00999712308615501
2119.9999664494057,0.00999712308615501
2119.9999664494057,0.00999712308615501
2119.9999664494057,0.00999712308615501
2120.0442937535586,0.007682138438059667
2120.23251341508,-0.003981558463275191
2120.5505838844388,-0.02448873799121755
2120.9782416966223,-0.053923134060522786
2121.4965982814983,-0.09259462766694654
2122.0908206969307,-0.14042510183511944
2122.7495223784063,-0.19685511647678297
2123.4644851882167,-0.26054367785390653
2124.2302943080226,-0.32944655744338386
2125.0433311026195,-0.4008403324434003
2125.9011016770346,-0.4713172542728925
2126.8018706620496,-0.5367685087671406
2127.744282156917,-0.5998462306970552
2128.726991293814,-0.6650199197832838
2129.7488342616484,-0.7364894173445239
2130.8087650450993,-0.8176975353181756
2131.906056208267,-0.9093437330601939
2133.04050299115,-1.0079822844284274
2134.212011849569,-1.1084994117137983
2135.420451839572,-1.2049842965600117
2136.665563876955,-1.290468020781118
2137.946945403087,-1.3591500341621834
2139.264122265537,-1.4082938631185276
2140.616446002229,-1.4366684460597763
2142.0032444220174,-1.4446267578567953
2143.4238904917243,-1.4342540531180625
2144.8779320726157,-1.410513205730206
2146.365287495645,-1.380470603919395
2147.885463500692,-1.3526540712850428
2149.4365116107524,-1.3369001713536721
2151.000616836714,-1.3440089699983109
2152.5495212400047,-1.3842107952147975
2154.065223076786,-1.4625443690026791
2155.5469976391955,-1.5797173712023875
2157.0098705699093,-1.7338921035675228
2158.468997852277,-1.9223793349435165
2159.934703888317,-2.142110437257113
2161.413689589336,-2.3900852810568507
2162.910854467061,-2.6614126537392617
2164.4302516556713,-2.9490321693694828
2165.973257258268,-3.244327142888213
2167.5259719514133,-3.534173870385986
2169.064720864698,-3.80376689762709
2170.5742981877684,-4.040495672012936
2172.045482500083,-4.234222587434366
2173.4722557079676,-4.383970387815068
2174.8508545154014,-4.491489862027098
2176.1791111664934,-4.55735911130616
2177.4549576979016,-4.584250427099438
2178.6773981898546,-4.575910024407039
2179.848689421215,-4.53827322437062
2180.9796838700404,-4.477454546085792
2182.093553450086,-4.398401238988486
2183.2089075216686,-4.305222911224418
