u,du,q,Cur_acc
0.06,0.06,0.1,-9.202122036755428e-07
0.12,0.06,0.1,-8.082557070125699e-07
0.18,0.06,0.1,9.363500272909553e-07
0.24,0.06,0.1,-1.2161165684968417e-07
0.3,0.06,0.1,3.996233340696532e-07
0.36,0.06,0.1,-2.0948370437347642e-07
0.42,0.06,0.1,-1.3585722252731267e-07
0.48,0.06,0.1,-3.083724852944668e-08
0.54,0.06000000000000005,0.1,-3.073385300162645e-08
0.6000000000000001,0.06000000000000005,0.1,-1.4602157776904515e-07
0.6600000000000001,0.06000000000000005,0.1,1.6787377562096384e-07
0.7200000000000002,0.06000000000000005,0.1,-2.10462285094149e-08
0.7800000000000002,0.06000000000000005,0.1,1.8443222867301496e-08
0.8400000000000003,0.06000000000000005,0.1,5.007493938727696e-09
0.9000000000000004,0.06000000000000005,0.1,5.798664754589801e-09
0.9600000000000004,0.06000000000000005,0.1,-1.2914477068800746e-09
1.0200000000000005,0.06000000000000005,0.1,1.0715879929628743e-07
1.0800000000000005,0.06000000000000005,0.1,-1.9819012812696282e-07
1.1400000000000006,0.06000000000000005,0.1,-3.548489094712239e-08
1.2000000000000006,0.06000000000000005,0.1,-1.5320619611038182e-08
1.2600000000000007,0.06000000000000005,0.1,1.2529414693351513e-07
1.3200000000000007,0.06000000000000005,0.1,3.1609432247140024e-10
1.3800000000000008,0.06000000000000005,0.1,2.7783668656926238e-08
1.4400000000000008,0.06000000000000005,0.1,-9.649261899222599e-09
1.5000000000000009,0.06000000000000005,0.1,10.768342899442404
1.560000000000001,0.06000000000000005,0.1,13.051768537155972
1.620000000000001,0.06000000000000005,0.1,8.231933301653847
1.680000000000001,0.06000000000000005,0.1,3.0375944639282597
1.740000000000001,0.06000000000000005,0.1,0.632815107101786
1.8000000000000116,0.06000000000001049,0.1,1.3334937248681473
1.8600000000000134,0.06000000000000183,0.1,2.1032122715823975
1.920000000000017,0.060000000000003606,0.1,0.8426294477947698
1.980000000000018,0.06000000000000094,0.1,0.24233586140170518
2.0,0.019999999999982032,0.1,1.648814185524591
2.000000000000004,3.9968028886505635e-15,0.1,2.1338929259329644
2.0000000000000173,1.3322676295501878e-14,0.1,0.810843935625615
2.0,-1.7319479184152442e-14,0.1,0.5666335423286302
2.0000000000000178,1.7763568394002505e-14,0.1,2.042349363559498
2.0000000000000155,-2.220446049250313e-15,0.1,2.489809526650756
2.0,-1.554312234475219e-14,0.1,1.1600563763850813
2.0,0.0,0.1,0.7795741845373435
2.0,0.0,0.1,2.0999247658809814
2.0,0.0,0.1,2.4220996304518736
2.0000000000000164,1.6431300764452317e-14,0.1,1.110070956773072
2.0,-1.6431300764452317e-14,0.1,0.7739970522078006
2.0,0.0,0.1,2.051331581464097
2.0000000000000004,4.440892098500626e-16,0.1,2.3201569165830342
2.000000000000015,1.4654943925052066e-14,0.1,1.0799408607011431
2.0,-1.509903313490213e-14,0.1,0.8029907418044204
2.0,0.0,0.1,2.005307839502131
2.0000000000000133,1.3322676295501878e-14,0.1,2.191181735014911
2.0000000000000004,-1.2878587085651816e-14,0.1,1.0832555082958604
2.0,-4.440892098500626e-16,0.1,0.9267460829362564
2.0,0.0,0.1,1.9479628213914828
1.9817958198815824,-0.018204180118417623,0.1,1.9699264322193908
1.965293847305739,-0.016501972575843293,0.1,1.0880430070023344
1.9464824403120402,-0.018811406993698876,0.1,1.1286844155075868
1.9160676148778417,-0.03041482543419849,0.1,1.8248895234429607
1.8895025028832955,-0.026565111994546253,0.1,1.5939067175293549
