ego_s,s_ahead
2090.07960377188,2110.6743979082244
2091.2518755119468,2111.7306872419595
2092.4172576862616,2112.798250267512
2093.5786271991137,2113.873418077013
2094.7362567691407,2114.9519126834007
2095.8878955250366,2116.0268170884806
2097.0337328201476,2117.0974122430653
2098.1746343839077,2118.1658697363473
2099.3097657111944,2119.2340143565407
2100.4389204797053,2120.3027340427793
2101.5632778692698,2121.372199338576
2102.6831476924467,2122.4424053164958
2103.797853737998,2123.512746523099
2104.9082570193755,2124.583136496073
2106.0151524094517,2125.653520224126
2107.1172364340255,2126.7239629386427
2108.214983591166,2127.7944065674997
2109.3134909525816,2128.8651583184983
2110.3943896070964,2129.936066512801
2111.432131062393,2131.007070257379
2112.4769751512067,2132.0780470780387
2113.524430487684,2133.1490871665587
2114.572758659277,2134.2201883648954
2115.618271625984,2135.2913177239166
2116.6632509937085,2136.3624417649653
2117.707244510229,2137.433618511738
2118.7506443215325,2138.5048448041894
2119.793632570126,2139.5760254219153
2120.836341524715,2140.647248442518
2121.8790232245115,2141.718510469639
2122.921950563897,2142.7896861602526
2123.9652636870164,2143.8608642639624
2125.009050483243,2144.9320724496083
2126.053549413853,2146.0032470610327
2127.0989394468097,2147.0744775898174
2128.1452154477984,2148.1456706476924
2129.1924965990183,2149.216885509235
2130.2409332672446,2150.288183065888
2131.29048791468,2151.359439408472
2132.3412203620437,2152.43062341707
2133.3931593679144,2153.501735933637
2134.446302170049,2154.5728068180483
2135.5006493885276,2155.6439582362113
2136.5561375304014,2156.7150996904743
2137.612795419948,2157.7862012511746
2138.6705321063296,2158.8573247980967
2139.729347424678,2159.928410237211
2140.7891802991085,2160.9995500777623
2141.84997259258,2162.070776282851
2142.9115681107282,2163.141937160756
2143.974123168357,2164.213033556306
2145.0373934328545,2165.283975136026
2146.1015038129335,2166.3549765882794
2147.1663002183354,2167.426038710184
2148.231876522195,2168.497101214488
2149.298019859675,2169.568195691761
2150.364854858611,2170.6392616270164
2151.4321074244713,2171.710391114495
2152.499808216078,2172.7814929835063
2153.567898329545,2173.852628587819
2154.6364692154275,2174.9239506986582
2155.705461108452,2175.9953984277863
2156.7746916176684,2177.066666648858
2157.8442846033863,2178.1377248668095
2158.9141478838073,2179.2084205689994
2159.9841296455857,2180.279089470819
2161.054505422831,2181.3497916765464
2162.125062112327,2182.4205254619715
2163.195769818654,2183.491230743341
2164.2665372086476,2184.561969952973
2165.33718052117,2185.632720173005
2166.4081278200038,2186.703480258937
2167.479287356959,2187.774218108249
2168.5504760738427,2188.8449023605954
2169.6216338091504,2189.9156129590506
2170.693003960572,2190.986305345981
2171.7646171372676,2192.0570010822735
