0,1,2
0.9930577,0.29001683,0.988455
0.9890112,0.11990675,0.06252712
0.98890555,0.119882524,0.06268346
0.98891103,0.11988428,0.062675804
0.98890734,0.119883895,0.062681556
0.98890454,0.119883806,0.062686265
0.98890287,0.11988351,0.06268889
0.988902,0.11988336,0.06269026
0.98890144,0.11988369,0.06269121
0.98890114,0.11988342,0.06269163
0.988901,0.11988336,0.06269187
0.9889009,0.11988336,0.06269193
0.9889009,0.11988342,0.06269202
0.9889008,0.11988342,0.06269199
0.9889008,0.11988333,0.062692076
0.9889008,0.11988336,0.062692046
0.9889008,0.11988342,0.062692076
0.9889008,0.11988324,0.062692225
0.9889008,0.1198833,0.062692165
0.9889008,0.1198833,0.062692165
0.9889008,0.1198833,0.062692165
0.9889008,0.11988324,0.062692106
0.9889008,0.11988324,0.062692106
0.9889008,0.11988324,0.062692106
0.9889008,0.11988324,0.062692106
0.9846363,0.18339726,0.180354
0.9479797,0.15873948,0.6003646
0.81896317,0.09000617,0.8832498
0.66030955,0.06858763,0.89318967
0.7856995,0.046612978,0.891968
0.8765696,0.020256758,0.87454665
0.939169,0.013843358,0.65400726
0.8878778,0.010772556,0.30483547
0.7303773,0.014821947,0.16050771
0.38043404,0.036755472,0.06860909
0.10873991,0.10772139,0.029415995
0.043901056,0.19526961,0.0140013695
0.019472092,0.23436603,0.0065931976
0.020260453,0.19060218,0.003463
0.028490007,0.07764,0.0073266327
0.016978443,0.20141608,0.005537957
0.018387169,0.41934538,0.0064430535
0.0201734,0.6749505,0.0075538754
0.02619204,0.7848507,0.01578191
0.031924754,0.83937454,0.045211732
0.032457054,0.84897894,0.04879409
0.016176045,0.8575207,0.04335189
0.007992476,0.86460257,0.03508979
0.008835226,0.8030105,0.033180684
0.009101957,0.7419523,0.031270564
0.0072455406,0.73947424,0.027494192
0.0054260194,0.7582207,0.02499643
0.008839071,0.84864044,0.032834947
0.014404297,0.87144,0.0433681
0.02105704,0.85722756,0.042829663
0.030941129,0.8151029,0.046090633
0.04951322,0.76059645,0.05276987
0.044889003,0.7867766,0.08347911
0.020915985,0.8960329,0.19436514
0.013031781,0.9495028,0.37298906
0.0095356405,0.96941715,0.58039665
0.0075279474,0.9769995,0.7184528
0.0068539083,0.9799719,0.7936403
0.0071304142,0.9806502,0.8235433
0.007538438,0.9793693,0.82744396
0.007947385,0.9767342,0.8150549
0.006904006,0.973466,0.77533054
0.005505055,0.9656655,0.6768865
0.0036683977,0.9674164,0.52260125
0.0030421615,0.97073454,0.40633
0.00260216,0.96507263,0.31385028
0.0022491217,0.95502317,0.2536382
0.0020801127,0.93971765,0.20657563
0.0018948317,0.918737,0.16881603
0.000898242,0.90401053,0.18781126
0.0011441112,0.8454893,0.25791374
0.0010871291,0.9046143,0.1933524
0.0012593269,0.9346414,0.123586595
0.0019202828,0.9493592,0.06911054
