ego_s,s_ahead
2000.0000025866925,2070.000029115585
2000.0000025866925,2070.0019256365226
2000.0000025866925,2070.002250659367
2000.0000025866925,2070.0021293827685
2000.0000025866925,2070.0019858959013
2000.0000025866925,2070.0019141524863
2000.0000025866925,2070.001876007135
2000.0000025866925,2070.0018446827344
2000.0000025866925,2070.0018401354337
2000.0000025866925,2070.0018355881316
2000.0000025866925,2070.0018355881316
2000.0000025866925,2070.0018355881316
2000.0000025866925,2070.0018333144803
2000.0000025866925,2070.0018333144803
2000.0000025866925,2070.0018333144803
2000.0000025866925,2070.0018333144803
2000.0000025866925,2070.0018333144803
2000.0000025866925,2070.0018333144803
2000.0000025866925,2070.0018333144803
2000.0000025866925,2070.0018333144803
2000.0000025866925,2070.0018333144803
2000.0000025866925,2070.0018333144803
2000.0000025866925,2070.0018333144803
2000.0000025866925,2070.0018333144803
2000.0445894211016,2070.0018333144803
2000.2341679581382,2070.05254674388
2000.5481916847766,2070.2492929776236
2000.942050885266,2070.5522973275783
2001.36837432388,2070.912733633596
2001.7985439626586,2071.278363111851
2002.2320929965965,2071.62271993578
2002.6832729109644,2071.9367067967155
2003.149757488811,2072.217693279168
2003.6207584825393,2072.4857446661276
2004.1008685833285,2072.775129621478
2004.5995725575413,2073.1015891274096
2005.1120176071677,2073.462774011745
2005.6349111909217,2073.8304224512726
2006.1749657969597,2074.1780850730242
2006.7352520299728,2074.5024567091295
2007.3102205013658,2074.8228057070537
2007.8996121430635,2075.1458026293067
2008.5072845264392,2075.4682587838906
2009.1316136854784,2075.7901064630864
2009.7700819720267,2076.111347436464
2010.424531042223,2076.4333415298865
2011.0957381351523,2076.7932543388015
2011.78196594984,2077.2069573025224
2012.4834596353794,2077.6716215643314
2013.2011051827867,2078.1658098124003
2013.9342764289677,2078.657141408337
2014.682696671323,2079.1290850615947
2015.4468057810102,2079.5878039475465
2016.2264976375998,2080.0569473345
2017.0214710519185,2080.557979733694
2017.8318766458706,2081.0967172595647
2018.657775273987,2081.6511729251347
2019.4989663929205,2082.1920699983657
2020.3554686918637,2082.707730027677
2021.2272976885738,2083.210523503327
2022.1143874521472,2083.7296409039955
2023.016673539494,2084.2603607721494
2023.9341052369855,2084.789969143363
2024.866825954533,2085.3185500166246
2025.8145756745455,2085.846191966897
2026.7772560802748,2086.3729122196733
2027.754981313511,2086.921689615843
2028.7476755007501,2087.5190950303086
2029.7552113345434,2088.1631466905874
2030.7775609931232,2088.8409685008623
2031.8146422733068,2089.525223436595
2032.8663907533385,2090.1964505440515
2033.9327222814875,2090.8532838245337
2035.0136212123607,2091.511344048898
2036.108983205213,2092.192649194038
2037.2187412957194,2092.9067601818347
2038.3427606743778,2093.642767925515
2039.481024179488,2094.3774231037055
2040.6335406800633,2095.0988504780403
2041.8000784370925,2095.8154451660907
2042.9805257233634,2096.5486829759666
2044.1750697501946,2097.2997924189585
2045.3833611099133,2098.0495767796347
2046.6054503028292,2098.798106970968
2047.8410961762263,2099.5454024532473
2049.0905353110516,2100.2914691654223
2050.353516405185,2101.047738659408
2051.6296682080483,2101.842214011092
2052.9194035123824,2102.675373594662
2054.222330157743,2103.535538295496
2055.5383145911487,2104.402835251347
2056.8673872410122,2105.263833712765
2058.20954419451,2106.1197071800943
2059.5645558607994,2106.980884581196
2060.93225857287,2107.857693397943
2062.312582299646,2108.7533316146687
2063.7054779936307,2109.664051910199
2065.1108845214144,2110.583860042958
2066.5286322011493,2111.5090774151286
2067.958613355752,2112.4396254678145
2069.4007285116836,2113.380196706935
2070.8548479385627,2114.3349151403736
2072.3208627105664,2115.3024784563895
2073.7985963896317,2116.2804434005207
2075.2880683233006,2117.267837786586
2076.7890348648534,2118.2639630275085
2078.3013439712913,2119.2687750410605
2079.824954091051,2120.2825881203503
2081.3598330329337,2121.3057866920262
2082.9056935312888,2122.3389381940615
2084.462434613882,2123.3819851614344
2086.030013964657,2124.4347181488765
2087.608246413274,2125.4970204508973
2089.197028621915,2126.562702339733
2090.7961199278943,2127.626610338324
2092.405487076974,2128.688807218063
2094.025052459079,2129.749171810242
2095.6545660820866,2130.807795755363
2097.2939497244574,2131.8720328847803
2098.9430923819473,2132.9480774274843
2100.601809741411,2134.0286654850006
2102.2701929238697,2135.1079359562964
2103.9471781068655,2136.183139682799
2105.6306633620684,2137.254670659807
2107.316195040654,2138.324204568938
2109.0086470517335,2139.393447392987
2110.65602239432,2140.46337261672
2112.285404380561,2141.534160471406
2113.936388164687,2142.605533481797
2115.58815309388,2143.6770923693402
2117.2407643378333,2144.748651578433
2118.8923451907244,2145.819903501187
2120.536465038513,2146.8910904762756
2122.1668102590365,2147.9623024071907
2123.7805605886897,2149.033537683614
2125.37496123358,2150.1047959566054
2126.945645197833,2151.1760761296264
2128.48797164767,2152.247254906946
2129.9951666901406,2153.318363535177
2131.468323046923,2154.3894323811683
2132.9155618725713,2155.460583029986
2134.3405747237957,2156.531724887766
2135.735792809909,2157.6028280844967
2137.10105978201,2158.6739542476284
2138.4452581545356,2159.745043164795
2139.7812995228205,2160.81618707353
2141.1048800354347,2161.883985352918
2142.401164254859,2162.9486328612147
2143.6685945436748,2164.0158934770416
2144.917976613294,2165.0857822474745
2146.1532496028553,2166.157448878874
2147.370534149076,2167.229796572496
2148.5727316996113,2168.301848186797
2149.7646030242986,2169.3734196202126
2150.9441055012558,2170.4445696435646
2152.1094065211128,2171.5156007508353
2153.2633754276053,2172.5865098304325
2154.4088513439056,2173.657720256639
2155.5439115266427,2174.7290754605856
2156.6682818012127,2175.8004496694048
2157.784008512229,2176.871869251301
2158.891945566236,2177.942811131158
2159.9912084630346,2179.0132721162636
2161.082896752067,2180.083707509225
2162.1680792589664,2181.1541734376547
2163.24651250767,2182.2246026125586
2164.318074699628,2183.295057757876
2165.384169440313,2184.365507205674
2166.44559129156,2185.4358768511906
2167.5023707308274,2186.506524358584
2168.5550268718607,2187.577176753886
2169.6039881119723,2188.647816688918
2170.649589816897,2189.718472757774
2171.692015390985,2190.789161318127
2172.7316621199743,2191.859893902697
2173.768499893148,2192.930584585352
2174.802009427095,2194.0015264605945
2175.8317945676376,2195.072509347546
2176.8578606470182,2196.1431613470677
2177.880660490241,2197.213298981057
2178.90055074959,2198.2832285549944
2179.919251180708,2199.353224389755
2180.9373901687395,2200.423163923245
2181.955529399779,2201.4931995855477
2182.974394127119,2202.56342281632
2183.994319396944,2203.6333756923627
2185.015204815715,2204.7033021402362
2186.0375732274315,2205.772896953061
2187.06170306385,2206.8425262037954
2188.087884556349,2207.912098374817
2189.11629796068,2208.9817050093798
2190.147109471425,2210.0514987482284
2191.1803324444936,2211.1212966165112
2192.2159686099253,2212.190946132871
2193.253904718488,2213.260325364535
2194.2943762362984,2214.329556541043
2195.3362829803873,2215.3987924526664
2196.379413799141,2216.468033375806
2197.42306712772,2217.5373710918316
2198.4675477734504,2218.6068058898304
2199.5129474888286,2219.676154966113
2200.5592360718683,2220.745357528898
2201.606444250496,2221.814261276049
2202.6545111662326,2222.8831410789826
2203.703345501407,2223.95205831446
2204.752855880839,2225.0209522556256
2205.802645764303,2226.0899756810177
2206.853081618005,2227.158945861121
2207.904255203767,2228.227893520911
2208.9561667030657,2229.2966053009254
2210.008816323174,2230.3651118506173
2211.062265345511,2231.4334744224834
2212.116452922136,2232.5018457886945
2213.1709519000624,2233.5703787642638
2214.2257930284645,2234.639043082242
2215.2813427545375,2235.7076558334747
2216.337540173207,2236.7762170984665
2217.394293912366,2237.8442998856494
2218.4518788186165,2238.9123312575693
2219.5101120140475,2239.9803725636184
2220.568871569506,2241.0484544955034
2221.6277302586,2242.1166992206577
2222.6869628890404,2243.184984907755
2223.746783351067,2244.2531285618147
2224.8070699102263,2245.321008160914
2225.867914146737,2246.3887152707152
2226.929377111138,2247.456433109304
2227.9913675445223,2248.524192419105
2229.0535192937778,2249.5919933686655
2230.11574095789,2250.6599276047787
2231.178337952978,2251.727720775414
2232.241371412255,2252.7954948360275
2233.304688890476,2253.862914469538
2234.368595764977,2254.930132072716
2235.4328481494745,2255.9973614493165
2236.4974766378914,2257.064633430522
2237.561931795057,2258.1321007125857
2238.6264581533096,2259.1996110902023
2239.691330601747,2260.2671035838557
2240.756457588539,2261.334303784225
2241.821747725455,2262.401211584328
2242.887506541023,2263.4681321736903
2243.9534900268236,2264.5350965156845
2245.019576046204,2265.6020743297304
2246.085276386719,2266.6692487471882
2247.1511713499463,2267.736284644971
2248.2171693628898,2268.80330382784
2249.2832095436015,2269.8699711179584
2250.3495667934517,2270.936499763469
2251.41611937406,2272.002951183243
2252.482836836148,2273.069600123206
2253.5491695253913,2274.1363555736343
2254.6152400273318,2275.203065145131
2255.681506458802,2276.269820275714
2256.7478466257353,2277.336285772754
2257.814108081761,2278.402430842624
2258.8806270283003,2279.468621557251
2259.947281528924,2280.534797606362
2261.013766152101,2281.6010352909693
2262.079775815408,2282.667426370257
2263.1457688523515,2283.7337424324414
2264.2117757624123,2284.799998542428
2265.2776439919917,2285.865950929495
2266.343679076547,2286.9316298570393
2267.409850899873,2287.9973556790583
2268.4760373840745,2289.063098582079
2269.541688642381,2290.1290111219078
2270.6069884890135,2291.1950022621063
2271.672334104504,2292.2610110068176
2272.737694691243,2293.3267782498338
2273.802887293764,2294.392227454216
2274.8683397648706,2295.457648285564
2275.933838671267,2296.5231328780133
