ego_s,"s_ahead， vs, v_ahead",s_ahead,vs,v_ahead
2000.0000025866925,,2060.000028661743,0.0,0.0
2000.0000025866925,,2060.0019360427123,8.3151898811854e-08,0.004426442985691718
2000.0000025866925,,2060.0022138709573,2.076581441368844e-08,0.00018111494231698853
2000.0000025866925,,2060.0021087996447,1.8330373056742534e-08,0.00040385894662502505
2000.0000025866925,,2060.0019928944603,9.326737129395701e-09,0.0002584854390683863
2000.0000025866925,,2060.0019334616086,2.067928117885535e-08,0.00014735102068194264
2000.0000025866925,,2060.001893018047,1.1185524663976484e-08,8.209798140400638e-05
2000.0000025866925,,2060.001882167009,5.947060779031802e-10,4.557306660322255e-05
2000.0000025866925,,2060.001876741489,3.743626149874212e-09,2.524760201594961e-05
2000.0000025866925,,2060.001831120265,2.8024040556195303e-09,1.3977215498637796e-05
2000.0000025866925,,2060.0018256947433,3.4592674313322853e-09,7.981738222247175e-06
2000.0000025866925,,2060.0018256947433,0.0,5.482799342811786e-06
2000.0000025866925,,2060.0018256947433,6.896120528359109e-10,3.1390676717005956e-06
2000.0000025866925,,2060.0018256947433,3.0970121504418734e-09,1.7324526495968071e-06
2000.0000025866925,,2060.0018256947433,1.2596190582019233e-08,9.242628662321925e-07
2000.0000025866925,,2060.0018256947433,1.3057726337841657e-08,6.742799131254685e-07
2000.0000025866925,,2060.0018256947433,4.36411537931478e-10,4.175780716715543e-07
2000.0000025866925,,2060.0018256947433,2.3856486965062756e-09,2.0975262002706176e-07
2000.0000025866925,,2060.0018256947433,2.2190847038890935e-09,7.848735119135337e-08
2000.0000025866925,,2060.0018256947433,1.9279053808418357e-09,1.1719121676440209e-07
2000.0000025866925,,2060.0018256947433,3.618381384842365e-10,4.2342064707874986e-08
2000.0000025866925,,2060.0018256947433,1.3518882845550662e-08,3.166981790885964e-08
2000.0000025866925,,2060.0018256947433,1.4978543895353016e-09,8.544384529758639e-09
2000.0000025866925,,2060.0018256947433,3.4224734089376703e-09,4.0211776944371834e-08
2000.0445894211016,,2060.0018256947433,1.096220804766744,2.0154241978839755e-08
2000.2341679581382,,2060.054463420897,2.5087952523423773,1.2749451492802315
2000.5481916847766,,2060.2692903380403,3.583898639779677,2.7972733044954152
2000.942050885266,,2060.6182390928157,4.15428660529166,4.008607875405052
2001.3694653070513,,2061.0725797447903,4.343224584695103,4.925448930509213
2001.8079432023985,,2061.593183384678,4.4273906275319,5.359150571864987
2002.2605424712685,,2062.1287153241815,4.631666682132956,5.303655251652342
2002.738471650037,,2062.642153163047,4.889031511216983,4.980472848043135
2003.2371232305843,,2063.1159756202014,5.052884567130657,4.539571666827959
2003.7494235646227,,2063.5431607555392,5.191512128426107,4.059760203466801
2004.2797745740995,,2063.922914862001,5.403294979042468,3.59339119809926
2004.8323653509394,,2064.259624961727,5.617090654653981,3.2218103723812903
2005.4043679520605,,2064.5766281826513,5.8066512357077755,3.1949046217002413
2005.9969293656607,,2064.9101726016993,6.032005097449532,3.476974256317275
2006.6139346620726,,2065.2790242224833,6.279573097252533,3.871699180791184
2007.254478507524,,2065.689657108791,6.504037043743595,4.305231218286862
2007.9167092672146,,2066.132760741506,6.72176214646247,4.453892637748345
2008.6014545003097,,2066.5768445430917,6.951700653536998,4.446722264790595
2009.3091776323683,,2067.0201363940414,7.176893201202391,4.439568387916452
2010.038768314285,,2067.4627092729115,7.392250581540648,4.432461175666904
2010.7900500121168,,2067.904410188395,7.609139025802695,4.425394386268154
2011.5633880177975,,2068.359048959846,7.827154744504207,4.819670694750017
2012.3586245973079,,2068.8740263644127,8.0409328247559,5.3991183515916985
2013.1754959770078,,2069.43133873691,8.25257173979647,5.680637332758654
2014.0141192348713,,2069.9950130159427,8.464277836985298,5.601885806153202
2014.8745174396117,,2070.539616587815,8.67462847082034,5.349726663760093
2015.7565987193113,,2071.056506756672,8.883111890721617,5.088020022539078
2016.6603231562287,,2071.5593290399484,9.090617409647285,5.0764627179195285
2017.5857263786252,,2072.077927634682,9.297315309812944,5.3434856099977575
2018.5327753356055,,2072.630835159549,9.502915180116782,5.7337161266501795
2019.5014825431522,,2073.222771220865,9.707497792870925,6.086114932443859
2020.4918288387107,,2073.8324274842535,9.911221802797948,6.11406741292853
2021.5036843787525,,2074.4290759552678,10.11042429019926,5.897354176887544
2022.5361753086,,2074.999367674702,10.296705337349216,5.634934480288516
2023.587708975538,,2075.5544739488073,10.467493655610276,5.605775886999675
2024.6573281591811,,2076.123597880214,10.630402703157426,5.853685560631138
2025.7446756992724,,2076.7208625196026,10.792744168429094,6.058133474678141
2026.8495754426372,,2077.3215027612637,10.952465667903324,6.046763830575185
2027.9715382105762,,2077.9210410318824,11.102181434103207,6.036816942499284
2029.109413051271,,2078.519423969,11.241318497768246,6.0268826739156385
2030.2623019602197,,2079.116850153165,11.37404469981699,6.017078818894071
2031.4296448717653,,2079.7165761955116,11.499416435816498,6.169929521286954
2032.6105936053302,,2080.3574438141695,11.617717985859324,6.680495419008169
2033.804946121417,,2081.047294785231,11.738221558680177,7.15125669368279
2035.0132937458197,,2081.777664864816,11.86458866832328,7.484128165215828
2036.2357401270747,,2082.5231965646826,11.988483954143998,7.501738151427762
2037.4715192170545,,2083.2581538365207,12.10308235478744,7.3281779231158275
2038.719461662629,,2083.9722939006724,12.206453276377722,7.122839896019563
2039.9785271953126,,2084.675703746434,12.298876003626152,7.118761220478441
2041.247766472453,,2085.393345134401,12.383615022102948,7.353616638064808
2042.5263629332267,,2086.1411958129047,12.466865148143787,7.6907509729743575
2043.8147618445473,,2086.9220660561323,12.55126787003903,7.991126411842693
2045.1128058015797,,2087.7218980341822,12.634298967577664,8.0809491287833
2046.419851530941,,2088.518615536348,12.711611818653383,7.986975235770494
2047.7350208485439,,2089.303852031405,12.779310698578682,7.881368104137025
2049.0574765637325,,2090.0868999419267,12.837384107269953,7.941050792549241
2050.3863409217743,,2090.885961258883,12.890398148683264,8.117266026619134
2051.7209775879937,,2091.6904237398358,12.942134734374987,8.102873235475778
2053.061613596385,,2092.4934510782687,12.988357597478188,8.08887472441178
2054.4068172565635,,2093.295161039327,13.024876854199373,8.07468749917048
2055.755722791994,,2094.0955574126183,13.05538572812991,8.060502790151485
2057.1080384547045,,2094.895045212046,13.081310967636087,8.082420652438575
2058.463072962028,,2095.7171749453946,13.100680048349366,8.444444767432032
2059.820262096174,,2096.5772298078773,13.119589310411294,8.835090021287238
2061.1799856371235,,2097.475261199341,13.144647834029842,9.187439277414333
2062.5426314272963,,2098.399797347002,13.171211652839997,9.376473094947727
2063.908014714469,,2099.3318990229413,13.194057326211185,9.37728766032919
2065.275604689539,,2100.258835896394,13.211852351966295,9.307860620759032
2066.6446862688804,,2101.181052794926,13.223680170001687,9.290081493354792
2068.0146793175377,,2102.107612969458,13.231216123951357,9.380551022510838
2069.385419661234,,2103.0480599237294,13.238169630174495,9.546528510988876
2070.7568600138643,,2104.005998917136,13.244889854565915,9.72052387024619
2072.128792757681,,2104.979220765616,13.249964786315784,9.852914635138632
2073.501044658328,,2105.9625485921047,13.253600639979268,9.9359023164534
2074.8734620588716,,2106.952422623122,13.256012816982704,9.99425327201127
2076.2458660248776,,2107.9481030643046,13.256601780559192,10.058505042323551
2077.617996049197,,2108.9513824271517,13.255407284522816,10.14460251517057
2078.9896698622765,,2109.964393176053,13.25313782425231,10.249324335597873
2080.3608628851052,,2110.9883358980096,13.250004097712353,10.360858365376012
2081.7315265983057,,2112.022860711864,13.245869762256781,10.4676283118624
2083.1014011564407,,2113.067394966792,13.240785386995496,10.564205953815527
2084.4704803367913,,2114.125154298985,13.234840480620734,10.652636806396336
2085.8386162916154,,2115.1949278342454,13.228010285730738,10.708006215418811
2087.2058848621487,,2116.264743819907,13.220145464937104,10.686679494220416
2088.5719054686524,,2117.332140285008,13.210690249528435,10.66557942389531
2089.936584103813,,2118.397623919928,13.199413370029001,10.645028455309603
2091.2997063312723,,2119.461059610328,13.186733321850346,10.625137911987787
2092.661390621624,,2120.5230524948875,13.172681035434238,10.640253501276554
2094.021211795243,,2121.598457234539,13.157245289989195,10.857419831297342
2095.3792901034685,,2122.698947453077,13.141996280217363,11.124626074750745
2096.735714343535,,2123.825717113774,13.128380833611013,11.370118825144933
2098.090612242822,,2124.97148142123,13.115555324573872,11.508077556207077
2099.4439795763233,,2126.1238609900065,13.102366063723306,11.522169798608596
2100.795805734982,,2127.273036738875,13.088311934779556,11.464095210546269
2102.146061583299,,2128.4152593394074,13.072969155772743,11.39221840870164
2103.494499565356,,2129.551385118577,13.056140232078198,11.341808857892262
2104.8409561912813,,2130.6841610134975,13.038145549662671,11.32309831086589
2106.1858019634988,,2131.816638365732,13.019309895883046,11.328076484809253
2107.527298797686,,2132.9502505572923,12.999778230842725,11.343233291602216
2108.8695809030482,,2134.0854229934107,12.9796424627704,11.357580602955277
2110.1976289923005,,2135.2216650901614,12.958518694608454,11.36574508541819
2111.4679045407483,,2136.358424547737,12.940335558374324,11.367436075344012
2112.7561863419346,,2137.495148737598,12.92082130105765,11.365102400217099
2114.0469884002855,,2138.6314373794744,12.897438197643769,11.361609481457391
2115.3348137106564,,2139.767500097092,12.875046779721366,11.35887821440107
2116.6211845971807,,2140.90318011861,12.853117566190305,11.357585029429151
2117.9051644238198,,2142.0389007443096,12.828722293896826,11.357501078403784
2119.186693140328,,2143.1745666921834,12.803236556710782,11.358262868299596
2120.465657792285,,2144.310327122917,12.778249899103542,11.359062431923826
2121.7421562756417,,2145.4463617350107,12.752669638692756,11.359576033426238
2123.016011997963,,2146.5824233615945,12.72611582322154,11.359881786946362
2124.287239290588,,2147.718509580754,12.699564966832073,11.359995508242307
2125.55574447093,,2148.8545571037826,12.673117497385828,11.359937622544333
2126.821614510681,,2149.9906864443833,12.646323023805529,11.359458112413222
2128.084784694327,,2151.1268357554745,12.619346589962182,11.359404426329306
2129.3452834539576,,2152.262911358377,12.592482861082303,11.359668385880736
2130.603106219509,,2153.3988528656864,12.565632987699496,11.359798581915552
2131.8582162256844,,2154.534812550603,12.538708418148689,11.359989624584248
